feature_name,feature_group,source_column,formula,frequency,available_at,uses_future_data,leakage_status,inference_requirement,missingness_behavior,justification
promo_days_last_8w,Promotion History,Promotion,sum(promo_days[t-7:t]),Weekly,Origin t,NO,SAFE,Historical promo schedule,Zero filled,Medium-term promotional intensity
promo_intensity_last_13w,Promotion History,Promotion,sum(promo_days[t-12:t]) / 91.0,Weekly,Origin t,NO,SAFE,Historical promo schedule,Zero filled,Quarterly promotional ratio
promo_active_last_week,Promotion History,Promotion,1 if promo_days(t) > 0 else 0,Weekly,Origin t,NO,SAFE,Historical promo schedule,Binary 0/1,Contemporaneous promotion at origin
Selling_Price,Pricing & Margins,Selling_Price,catalog Selling_Price,Static,Origin t,NO,SAFE,Product catalog,100% complete,Unit revenue anchor
log_price,Pricing & Margins,Selling_Price,ln(Selling_Price),Static,Origin t,NO,SAFE,Product catalog,100% complete,Linearized price elasticity scaling
Cost_Price,Pricing & Margins,Cost_Price,catalog Cost_Price,Static,Origin t,NO,SAFE,Product catalog,100% complete,Unit procurement cost
Gross_Margin_Per_Unit,Pricing & Margins,Gross_Margin_Per_Unit,Selling_Price - Cost_Price,Static,Origin t,NO,SAFE,Product catalog,100% complete,Unit profitability
margin_rate,Pricing & Margins,Gross_Margin_Per_Unit,Margin / Selling_Price,Static,Origin t,NO,SAFE,Product catalog,100% complete,Gross margin percentage
price_vs_category_median_ratio,Pricing & Margins,Selling_Price,Price / Category_Median,Static,Origin t,NO,SAFE,Product catalog,100% complete,Within-category price positioning
Price_Tier,Pricing & Margins,Selling_Price,Budget / Mid-Range / Premium,Static,Origin t,NO,SAFE,Product catalog,100% complete,Categorical price tier
Category,Product Hierarchy,Category,Catalog Category,Static,Origin t,NO,SAFE,Product catalog,100% complete,Primary merchandise hierarchy
Subcategory,Product Hierarchy,Subcategory,Catalog Subcategory,Static,Origin t,NO,SAFE,Product catalog,100% complete,Secondary merchandise hierarchy
negative_margin_flag,Product Hierarchy,Cost/Selling,Cost > Selling (0/1),Static,Origin t,NO,SAFE,Derived catalog flag,100% complete (16 SKUs),Negative unit margin indicator
days_since_launch,Product Hierarchy,Launch_Date,(origin - Launch_Date).days,Weekly,Origin t,NO,SAFE,Origin date & Launch_Date,Positive integer,SKU age / maturity
latest_known_stock,Inventory Context,Current_Stock,Current_Stock at latest snapshot <= t,Monthly snapshot,Origin t,NO,SAFE,Latest physical snapshot,Observed value; never forward-filled,Actual available physical stock
latest_known_on_order,Inventory Context,On_Order,On_Order at latest snapshot <= t,Monthly snapshot,Origin t,NO,SAFE,Latest physical snapshot,Observed value; never forward-filled,Open replenishment purchase order
days_since_inventory_snapshot,Inventory Context,Snapshot_Date,(origin - snapshot_date).days,Weekly,Origin t,NO,SAFE,Snapshot timestamp,0 to 35 days,Inventory telemetry latency
stock_to_trailing_demand_ratio,Inventory Context,Stock / Demand,latest_stock / (roll_mean_4 + eps),Weekly,Origin t,NO,SAFE,Snapshot & demand,Epsilon protected,Days/weeks of supply proxy
Lead_Time_Days,Inventory Context,Lead_Time_Days,Configured lead time,Static,Origin t,NO,SAFE,Inventory master,100% complete,Supplier lead time
Safety_Stock,Inventory Context,Safety_Stock,Configured safety stock,Static,Origin t,NO,SAFE,Inventory master,100% complete,Buffer threshold
Reorder_Point,Inventory Context,Reorder_Point,Configured reorder point,Static,Origin t,NO,SAFE,Inventory master,100% complete,Replenishment trigger threshold
has_inventory_snapshot_at_origin,Missingness & Governance,Snapshot_Date,1 if snapshot on origin else 0,Weekly,Origin t,NO,SAFE,Origin timestamp,Binary 0/1,Fresh inventory observation indicator
is_inventory_stale,Missingness & Governance,Snapshot_Date,1 if days_since > 35 else 0,Weekly,Origin t,NO,SAFE,Origin timestamp,Binary 0/1,Stale telemetry indicator
future_planned_promo_h1..h8,Promotion Schedule,Promotion,Planned marketing event at t+h,Weekly,Origin t,CONDITIONAL,CONDITIONAL,Requires published marketing calendar before origin t,Binary 0/1 if calendar exists; else BLOCKED,Future promotional lift driver (+38.1%)
Units_Sold_future,Future Actuals,Units_Sold,y(t+h),Future,t+h,YES,TARGET,Target variable,N/A,Primary forecasting objective
Revenue_future,Target Derived,Revenue,Units_Sold * Price,Future,t+h,YES,LEAKAGE,BLOCKED,N/A,Target-derived monetary leakage
Inventory_Value,Inventory Valuation,Inventory_Value,Stock * Price,Snapshot,Origin t,NO,LEAKAGE,BLOCKED,Unresolved basis (cost vs selling),Monetary valuation conflict (Phase 1B)
